Plot,Herbivory,Coral_Id,Coral,percent_bleached,percent_dead,Date,Nutrients,catcat
C3,3x3,P15,Pver,0,0, Nov18,Nutrient,Nov18_P15
C3,3x3,P19,Pver,0,0, Nov18,Nutrient,Nov18_P19
C3,3x3,P24,Pver,0,0, Nov18,Nutrient,Nov18_P24
C3,3x3,P3,Pver,0,0, Nov18,Nutrient,Nov18_P3
C3,open,A1,Acr,5,15, Nov18,Nutrient,Nov18_A1
C3,open,A6,Acr,0,0, Nov18,Nutrient,Nov18_A6
C3,open,P11,Pver,0,0, Nov18,Nutrient,Nov18_P11
C3,open,P12,Pver,0,0, Nov18,Nutrient,Nov18_P12
C3,open,P13,Pver,0,0, Nov18,Nutrient,Nov18_P13
C3,open,P15,Pver,0,0, Nov18,Nutrient,Nov18_P15
D2,1x1,A1,Acr,0,0, Nov18,Ambient,Nov18_A1
D2,1x1,A5,Acr,0,0, Nov18,Ambient,Nov18_A5
D2,1x1,P15,Pver,0,0, Nov18,Ambient,Nov18_P15
D2,1x1,P17,Pver,0,0, Nov18,Ambient,Nov18_P17
D2,1x1,P2,Pver,0,0, Nov18,Ambient,Nov18_P2
D2,2x2,A6,Acr,0,0, Nov18,Ambient,Nov18_A6
D2,2x2,A7,Acr,0,0, Nov18,Ambient,Nov18_A7
D2,2x2,P2,Pver,0,0, Nov18,Ambient,Nov18_P2
D2,2x2,P21,Pver,0,0, Nov18,Ambient,Nov18_P21
D2,2x2,P7,Pver,0,0, Nov18,Ambient,Nov18_P7
D2,3x3,A1,Acr,0,0, Nov18,Ambient,Nov18_A1
D2,3x3,P22,Pver,0,0, Nov18,Ambient,Nov18_P22
D2,3x3,P5,Pver,0,0, Nov18,Ambient,Nov18_P5
D2,3x3,P9,Pver,0,5, Nov18,Ambient,Nov18_P9
D2,open,P12,Pver,0,0, Nov18,Ambient,Nov18_P12
D2,open,P13,Pver,0,0, Nov18,Ambient,Nov18_P13
D2,open,P15,Pver,0,0, Nov18,Ambient,Nov18_P15
D4,1x1,A1,Acr,0,0, Nov18,Nutrient,Nov18_A1
D4,1x1,A2,Acr,0,0, Nov18,Nutrient,Nov18_A2
D4,1x1,A3,Acr,0,0, Nov18,Nutrient,Nov18_A3
D4,1x1,A4,Acr,0,0, Nov18,Nutrient,Nov18_A4
D4,1x1,P16,Pver,0,0, Nov18,Nutrient,Nov18_P16
D4,1x1,P5,Pver,0,0, Nov18,Nutrient,Nov18_P5
D4,1x1,P7,Pver,0,5, Nov18,Nutrient,Nov18_P7
D4,2x2,A1,Acr,0,0, Nov18,Nutrient,Nov18_A1
D4,2x2,P11,Pver,0,0, Nov18,Nutrient,Nov18_P11
D4,2x2,P5,Pver,0,0, Nov18,Nutrient,Nov18_P5
